productName,brand,price,currency,GTIN
Fläskkorv Kokt,NYHLÉNS HUGOSONS,26.5,SEK,7393263064074
Akacia Honung,ELDORADO,37.95,SEK,7340083485459
General Portion White,GENERAL,51.95,SEK,7311250009815
Proteinpudding Choklad Laktosfri,EHRMANN,17.95,SEK,4002971247503
General White Portion Stock,GENERAL,489,SEK,7311250109812
Antipastitallrik,ZETA,61.95,SEK,7350027791775
Tapastallrik,ZETA,61.95,SEK,7350027790914
Gbg Rapé White Portion Stock,GÖTEBORGS RAPÉ,489,SEK,7311250109744
Tranbärsdryck Koncentrat,KIVIKS MUSTERI,38.95,SEK,7314720726663
Luftfräschare Freshmatic Max Refill,AIR WICK,59.95,SEK,5701092111319
Kaliber Vit Portion,KALIBER,29.95,SEK,7311250009419
LD Stark Portion,LD,29.95,SEK,73158271
Gbg Rapé Humle Ipa,GÖTEBORGS RAPÉ,47.95,SEK,7311250006715
Chicken Drumsticks Grill, Fryst,GULDFÅGELN,39.95,SEK,7313940574900
Panko Bread Crumbs,SPICEFIELD,19.95,SEK,7611612100441
Gbg Rapé Lingon Portion Stock,GÖTEBORGS RAPÉ,489,SEK,7311250109935
Hamburgerbröd 5-Pack,CITY GROSS,24.95,SEK,2000902200001
Zyn Mini Dry Bellini Portion,ZYN,31.95,SEK,7311250076732
Hamburgerbröd Med Surdeg 10-Pack,CITY GROSS,44.95,SEK,2000902300008
Halkidikioliver Urkärnade,ZETA,84.95,SEK,7350002406304
Svamp Portabello, Klass 1,None,39.95,SEK,5908281991145
Bladselleri, Klass 1 EKO,None,34.95,SEK,8426641003828
Salame Milano,ZETA,34.95,SEK,7350027790327
Ostronskivling, Klass 1,None,44.95,SEK,5908281992555
Fotmask Mjukgörande Triple Oil,SCHOLL,74.95,SEK,5701092114938
Gbg Rapé Humle Portion Stock,GÖTEBORGS RAPÉ,449,SEK,7311250106712
Broccoli, Klass 1 EKO,GARANT EKO,20.95,SEK,8426641001817
Isbergssallad EKO, Klass 1,None,39.95,SEK,8426641001947
Tacobåt Orginal Stand N' Stuff,OLD EL PASO,26.95,SEK,8410076472588
Soomen Nudlar,SPICEFIELD,27.95,SEK,7611612100526
Korvbröd Med Surdeg 8-Pack,CITY GROSS,29.95,SEK,2000903400004
Färskost Vitlök & Örter,PHILADELPHIA,22.95,SEK,7622400969034
Rub Allround,CAJ P.,14.95,SEK,7315200590026
Yoghurt Vanilj/Persika 2,1%,VALIO,26.5,SEK,6408432106583
Zyn Mini Dry Bellini Portion Stock,ZYN,149,SEK,7311250176739
Stenugnsbröd,ÖSTRAS BRÖD,41.95,SEK,7314320003171
Tandborste Slim Soft,COLGATE,47.95,SEK,8714789791494
Swave Cube Libre Slim Portion,SWAVE,37.95,SEK,7350014736734
Pasta Lasagne Glutenfri,BARILLA,33.5,SEK,8076809576352
Swave Cube Libre Slim Portion Stock,SWAVE,179,SEK,7350014736741
Amaryllisstöd Guld/Silver,BLOMSTERBODA,59.95,SEK,7333104045435
Lätt A-fil Dofilus 0,5% EKO KRAV,ARLA,19.95,SEK,7310865691835
Lundgrens Skärgård Portion,LUNDGRENS,40.95,SEK,7350106397218
Lundgrens Skärgård Portion Stock,LUNDGRENS,369,SEK,7350106397225
Tandkräm ProExpert Sensitive & Whitening,ORAL-B,29.95,SEK,5013965951664
Lindor Hjärta Praliner Mjölkchoklad,LINDT,109,SEK,8003340093253
Vitamin Vatten Pear/Peach,PROBRANDS,19.95,SEK,7350021425669
Sopsäckar 25-Pack,CAREPA,29.95,SEK,7322800033679
Frukostgrova,ÖSTRAS BRÖD,36.95,SEK,7314320003300
Olivolja Chili,GARANT,59.95,SEK,7340083491559
Zonex Cold Blast Extra Strong Portion 2-Pack,ZONEX,39.95,SEK,7350139649209
ProPud Proteinmilkshake Päron/Vanilj Laktosfri,PROPUD,20.95,SEK,7350068291272
Sesamolja,SPICEFIELD,32.95,SEK,7611612100496
Sushi Nori,SPICEFIELD,20.95,SEK,7611612100472
Kärnfrisk,ÖSTRAS BRÖD,37.95,SEK,7314320003249
Grönt Te Citrus,GARANT,13.95,SEK,7311041059678
Hembakat,ÖSTRAS BRÖD,37.95,SEK,7314320003324
Gula Ärter,GOGREEN,13.95,SEK,7312787703627
Skogschampinjon, Klass 1,None,27.95,SEK,8713021141417
Micellar Water Combination,GARNIER,64.95,SEK,3600542263887
Hamburgerdressing,MAX,42.95,SEK,7350042721788
Nutri Bomb Tissue Mask,GARNIER,34.5,SEK,3600542319744
Glass Stjärntårta, Fryst,KLING GLASS,60.95,SEK,7392504018425
Morötter, Klass 1 EKO,GARANT EKO,25.95,SEK,7311041049952
Gräddglass Saltlakrits, Fryst,SIA GLASS,16.95,SEK,7312690021207
Risifrutti Hallon XL,RISIFRUTTI,15.5,SEK,7310090772927
Jackfruit Ung Grön I Saltlake,TWIN DRAGON,25.95,SEK,7350116920123
Glass Strawberry Cheesecake, Fryst,HÄAGEN-DAZS,57.95,SEK,3415581176025
Jordgubb & Rabarb,ZEROH,26.95,SEK,7070841004584
Kapris Små,ZETA,31.95,SEK,73517634
Body Lotion Awakening,DOVE,49.95,SEK,8710447495674
Pepparkaksdeg Laktosfri,CITY GROSS,39.95,SEK,2000917800005
Risifrutti Jordgubb XL,RISIFRUTTI,15.5,SEK,7310090771920
Kaffefilter 102 Vita,MELITTA,25.95,SEK,4006508114863
Hundmat Valp,DOGGY PROFESSIONAL,22.95,SEK,7300330063007
Aprikoser, Klass 1,None,29.95,SEK,7330583004977
Falukorv Ring,GARANT,34.95,SEK,7311041056318
Mozzarella,GRANAROLO,18.95,SEK,8002670004205
Mellanmjölk 1,5%,GRÅDÖ MEJERI,19.95,SEK,7340131390308
Mozzarella Mini,GRANAROLO,25.95,SEK,8002670004342
Rizla Flavour Card Menthol 1-Pack,RIZLA,10.95,SEK,4030700129813
Snack Pot Mac & Cheese,KNORR,19.95,SEK,8711200344734
Grillad Kycklinginnerfilé BBQ,GULDFÅGELN,49.5,SEK,7313940027048
Vaniljhjärta,CITY GROSS,10.95,SEK,2000920200007
Häxhatt Vuxen Svart,HEDLUND,29.95,SEK,7391197620410
Blodpudding Skivad,GEA'S,15.95,SEK,7310943092400
Gelato Cioccolato, Fryst,GLENN STRÖMBERG,67.95,SEK,7312060920024
Mazarin,CITY GROSS,10.95,SEK,2000920400001
Burrata,GRANAROLO,35.95,SEK,8002670007466
Gul Lök, Klass 1 EKO,GARANT EKO,24.95,SEK,7340083456497
Chokladpudding 4-Pack,PODRAVKA,19.95,SEK,3850104276507
Chokladboll Pärlsocker 4-Pack,CITY GROSS,44.95,SEK,2000920700002
Falukorv,SCAN,69.95,SEK,7300207516001
Vaniljpudding,PODRAVKA,19.95,SEK,3850104276514
Mafalda Corta Glutenfri,GAROFALO,26.95,SEK,8000139929809
Fusilloni Glutenfri,GAROFALO,26.95,SEK,8000139929830
Luftfräschare Freesia/Jasmine,AIRWICK,59.95,SEK,5701092104632
Smör Normalsaltat,SKÅNEMEJERIER,61.5,SEK,7310867550024
Ytterbykringla 4-Pack,CITY GROSS,44.95,SEK,2000921200006
Grapefruit Pineapple Drops Filled,CAVENDISH,24.95,SEK,4037719068539
Bruna Bönor,GOGREEN,24.95,SEK,7312787703887
Hallonmunk,CITY GROSS,10.95,SEK,2000921400000
Meal Cup Red Curry Noodles,BLÅ BAND,18.95,SEK,7322550035589
Vaniljmunk,CITY GROSS,10.95,SEK,2000921500007
Balsam Color Vive,ELVITAL,35.95,SEK,5410103915661
Pepsi Max Lemon Sockerfri,PEPSI,19.5,SEK,7310070006332
Flytande Fintvätt,GRUMME,39.95,SEK,7310610028565
Färskost Original 21%,PHILADELPHIA,57.95,SEK,7622400005947
Äppelmunk,CITY GROSS,10.95,SEK,2000921600004
Glass Blåbärstårta, Fryst,KLING GLASS,60.95,SEK,7392504018418
Treat Glutenfri,SEMPER,10.95,SEK,7312170056675
Mellanrumsborste Röd,TEPE,35.95,SEK,7317400015040
Kaffefilter 1x4 Oblekt,MELITTA,24.95,SEK,4006508122394
Mellanrumsborste Blå 0.6 mm,TEPE,35.95,SEK,7317400015088
Black & Gold 4-Cell,DR. OETKER,48.95,SEK,5701073061510
Mellanrumsborste Gul,TEPE,35.95,SEK,7317400015125
Mugg Roll My Eyes Out Loud,NOSTALGIC-ART,99.95,SEK,4036113430638
Lättmjölk 0,5%,GRÅDÖ MEJERI,18.95,SEK,7340131390452
Mellanrumsborste Grön 0,8mm,TEPE,36.95,SEK,7317400015163
Macadamia Nut Brittle, Fryst,HÄAGEN-DAZS,57.95,SEK,3415581122022
Mugg Have A Coffee,NOSTALGIC-ART,99.95,SEK,4036113430041
Kattmat Adult Kyckling,PERFECT FIT,84.95,SEK,5900951307744
Vinbladsdolmar,NASIB,24.95,SEK,7350005810115
Linfrön Hela,RISENTA,17.95,SEK,7311311024641
Tandborste Regular Soft,TEPE,19.95,SEK,7317400020129
Mugg It's Coffee O'clock,NOSTALGIC-ART,99.95,SEK,4036113430195
Mugg Marilyn, Some Like It Hot,NOSTALGIC-ART,99.95,SEK,4036113430560
Kattmat Adult Kyckling,PERFECT FIT,145,SEK,5900951307584
Snack Pot BIG Bolognese,KNORR,27.95,SEK,8711200360345
Mugg World's Best Mum,NOSTALGIC-ART,99.95,SEK,4036113430546
Kattmat Senior Kyckling,PERFECT FIT,145,SEK,5900951308154
Jambalaya,RIDDERHEIMS,18.95,SEK,7392555502485
Cocktailtomater, Klass 1 EKO,GARANT EKO,24.95,SEK,7311041049969
Frozen Berry,CELSIUS,21.5,SEK,7350058335085
Mugg World's Best Dad,NOSTALGIC-ART,99.95,SEK,4036113430553
Original Portion,QVITT,39.95,SEK,7350014735003
Kattmat Indoor Kyckling,PERFECT FIT,145,SEK,5900951307560
Mugg Cat Lover,NOSTALGIC-ART,99.95,SEK,4036113430294
Kolakakor,CITY GROSS,10.95,SEK,2000923100007
Hundgodis Ranchos Slices,PEDIGREE,25.95,SEK,5998749141670
Mugg Love Dog,NOSTALGIC-ART,99.95,SEK,4036113430409
Chokladbröd,CITY GROSS,10.95,SEK,2000923200004
Ugnsgrillad Paprika,PLIVIT,35.95,SEK,7350039276604
Hundmat Selection In Sauce Mix,CESAR,195,SEK,8410136024221
Sköljmedel Pure,COMFORT,38.95,SEK,8720181207631
HED KYCKLING 13CM GUL 2OL,HEDLUND,79.95,SEK,7320011142531
Sköljmedel Peony,COMFORT,38.95,SEK,8720181207617
Dents Fresh Apple,LÄKEROL,19.5,SEK,6420256012512
Soppa Tomat & Basilika,BLÅ BAND,15.95,SEK,7322550036753
Flytande Kulörtvätt Pion,GRUMME,39.95,SEK,7310610028503
Remouladsås,KAVLI,33.95,SEK,7311442112101
Påskägg Hjärtformat 15cm,HEDLUND,29.95,SEK,7320011134871
Tandkräm Max White One,COLGATE,39.95,SEK,8714789625454
Chokladboll Kokos 4-Pack,CITY GROSS,44.95,SEK,2000924400007
Kroppkakor Delikatess,ÖLANDSKROPPKAKAN,24.5,SEK,7321650005010
Original Portion Stock,QVITT,369,SEK,7350014735201
Chokladbiskvier 4-Pack,CITY GROSS,44.95,SEK,2000924500004
Smarties Giant Tube,NESTLÉ,22.95,SEK,7613036271554
Chocolate Mint Salted Caramel,FISHERMAN'S,16.95,SEK,5000357108560
Sköljmedel Sunfresh,COMFORT,37.95,SEK,8720181207624
Gelato Tiramisù, Fryst,GLENN STRÖMBERG,67.95,SEK,7312060920000
Prinsessbakelse Blå 2-Pack,CITY GROSS,59.95,SEK,2000925600000
Meal Cup Creamy Carbonara,BLÅ BAND,18.95,SEK,7322550035565
Kycklingbuljong 12-Pack,ELDORADO,12.5,SEK,7340083407680
Al Capone Flame Pocket Cigarill Filter,AL CAPONE,55.95,SEK,4004018000331
Köttbuljong 12-Pack,ELDORADO,12.5,SEK,7340083407673
Flytande Kulörtvätt Skog,GRUMME,38.95,SEK,7310610028527
Ferrari Salt Hallon Påse,TOMS,16.5,SEK,5774540630809
Glass Klassikerlåda 18-Pack, Fryst,GB GLACE,135,SEK,8711327343573
Honung,ELDORADO,40.95,SEK,7340083495618
Grönsaksbuljong 12-Pack,ELDORADO,12.5,SEK,7340083407697
Fullkornsvälling Mild 8 Mån,SEMPER,61.95,SEK,7310100683953
Kanelbullar Big Pack, Fryst,FINDUS,55.95,SEK,7310500176833
Glass Skruven, Fryst,TRIUMF GLASS,44.95,SEK,7312060502121
Glass Whiskyglass, Fryst,LEJONET & BJÖRNEN,66.95,SEK,7392890012496
Prinsesstårta Rosa 6-8 Portioner,CITY GROSS,199,SEK,2000928700004
Potatissallad,PRINSENS,18.95,SEK,7394101010307
Glass Twister 8-Pack, Fryst,GB GLACE,43.95,SEK,8711327576810
Glass Sandwich Original 6-Pack, Fryst,GB GLACE,51.95,SEK,8722700132523
Dipmix Hot Holiday,ESTRELLA,11.5,SEK,7310532130612
Cookies Chocolate Glutenfri,GULLON,28.95,SEK,8410376017342
Pepsi Max Lime Sockerfri 6-Pack,PEPSI,48.95,SEK,7310072000710
Bok Halvan Här Kommer Nya Polisbilen,CAPTECH,79,SEK,9789129700930
Cookies XL Mjölkchoklad 8-Pack,MARABOU,32.95,SEK,7622300589882
Pärlplattor 5-Pack,PLAYBOX,29.95,SEK,7394311893462
Meal Cup Tasty Bolognese,BLÅ BAND,18.95,SEK,7322550035558
Fiskbullar Räksås,ABBA,27.5,SEK,7311170041353
Salamisnack Vitlök,GØL,27.5,SEK,5707196210033
Mango Currysås,GARANT,19.95,SEK,7340083485589
A-Fil Plus Dofilus 3% Laktosfri,ARLA,25.95,SEK,7310865692917
Prinsesstårta Gul 6-8 Portioner,CITY GROSS,179,SEK,2000930800006
Äpplejuice,BRAVO,23.95,SEK,7310867561419
Norrland Öl 2,1%,NORRLANDS GULD,6.5,SEK,7310400010015
Blåbärsprinsesstårta 6-8 Portioner,CITY GROSS,199,SEK,2000930900003
Crunchy Jordnötssmör,SKIPPY,45.5,SEK,37600160490
Halloweentårta 6-8 Personer,CITYGROSS,199,SEK,2000931000009
Drickyoghurt Jordgubb,ACTIVIA,16.95,SEK,7350000550375
Pepsi Max Lemon Sockerfri,PEPSI,13.5,SEK,7310070006370
Jordgubbstårta,CITY GROSS,199,SEK,2000932800004
Hallontårta 6-8 Personer,CITY GROSS,199,SEK,2000932900001
Elegancenejlika,BLOMSTERBODA,69.95,SEK,7340003801345
Grekisk Yoghurt 10%,LARSA FOODS,35.95,SEK,7350056793023
Frukttårta 6-8 Personer,CITY GROSS,179,SEK,2000933000007
Kycklingköttbullar,GARANT,33.95,SEK,7340083453892
Blåbärstårta 6-8 Portioner,CITY GROSS,199,SEK,2000933100004
Drottningtårta 6-8 Personer,CITY GROSS,199,SEK,2000933200001
Babyspenat, Klass 1 EKO,GARANT EKO,17.95,SEK,7340083444333
Apelsinjuice,BRAVO,27.95,SEK,7310867561402
Prinsesstårta Grön,CITY GROSS,249,SEK,2000936000004
Jordgubbsyoghurt,DANONINO,9.95,SEK,7350000550214
Cider Hallon/Fläder,PREMIER,13.5,SEK,7340083476303
Pesto Rosso EKO,GARANT EKO,41.95,SEK,7340083445156
Havrevälling Mild 6 Mån,SEMPER,58.95,SEK,7310100683533
Mannafrutti Skogsbär,MANNAFRUTTI,11.95,SEK,7310090786627
Pulled Med Teriyakisås, Fryst,GREEN CUISINE,49.95,SEK,7310500180649
