productName,brand,price,GTIN"Fackelbrot Cheddar-Mozzarrela","fackelbrot","3.99","4039273749695"
"Haribo Fruchtgummi Color-Rado 175g","Haribo","1.19","4001686725504"
"Allée Bleue Cool Hills Weißwein Sauvignon Blanc trocken 0,75l","Allée Bleue","9.80","6009674100539"
"Foodlogic Bio Vollkornbrot mit Walnuss 500g","foodlogic","3.29","2132910000004"
"Today men Q10 Intensivcreme 50ml","Today","2.35","22978837"
"West Silver Hülsen 200 Stück","West","1.80","4030400200478"
"Kinnius Käsegriller 5x75g","Kinnius","4.49","4014972502147"
"Lanesch Sefir mit Vanille-Erdbeer-Geschmack 420g","lanesch","4.49","4030957841308"
"REWE Beste Wahl Urväter Schnitten 1kg","REWE Beste Wahl","2.79","4337256085267"
"Ghorban Bio Olio Extra Vergine di Oliva Basilico 250ml","ghorban","8.99","4260159959260"
"Berchtesgadener Land Schlagrahm 32% 500g","Berchtesgadener Land","2.79","4101530001737"
"Demeter Bio Weißwein Grauburgunder trocken 0,75l","demeter","7.99","4000763050164"
"Carolinen Limette 1l","Carolinen","0.65","42371571"
"Bernard-Massard Herrenklasse Riesling trocken 0,75l","Bernard Massard","8.49","4008077070069"
"Schönecke Freilandeier 10 Stück","Schönecke","3.69","4005211100408"
"KWV Roodeberg Rotwein trocken 0,75l","Roodeberg","9.99","6002323024057"
"Heinz American Mustard Mild 220ml","Heinz","2.99","87157697"
"Dooley's Bombardino Cream Liqueur 0,7l","Dooley's","16.99","4004752221504"
"Corny free Müsliriegel weiße Schoko 7x20g","CORNY","1.69","4011800577612"
"Bad Brambacher Garten-Limonade Schwarze Johannisbeere 12x0,7l","Bad Brambacher","8.99","4017434003473"
"Endori veganer Thuna 165g","endori","3.79","4251349107448"
"Ostmann Zimt gemahlen 30g","Ostmann","2.19","4002674046151"
"Imkerei Böhm Blütenhonig cremig 500g","Imkerei Böhm","7.49","4270001409300"
"Berief Hafer + Calcium 1l","Berief","1.99","4004790032650"
"Speisekartoffeln vorwiegend festkochend 2kg","speisekartoffeln","2.79","4013222926160"
"Nagelschmitz Gurken Mini 1 Stück","nagelschmitz","0.79","23828476"
"Oral-B Aufsteckbürsten Pro Kids 3+ Marvel Spiderman 4 Stück","Oral-B","14.99","8006540805879"
"Weißer Riese Vollwaschmittel Gel Kalt-Aktiv 2,25l, 50WL","Weißer Riese","8.99","4015200031972"
"Maggi Feuerwehr Suppe ergibt 750ml","Maggi","0.99","7613039470275"
"Orang Utan Kaffee Ganze Bohne 250g","orang","8.19","4251275302818"
"Welde No. 1 Premium Pils 24x0,33l","Welde","18.79","4043800900114"
